codigo;nombre;frecuencia;bloque;uso_analitico;tratamiento
PN01728AM;PBI, variación interanual mensual;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01731AM;PBI desestacionalizado, variación mensual;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN38082AM;PBI desestacionalizado, promedio móvil 3 meses;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01732AM;Demanda interna;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN14204AM;Demanda interna sin inventarios;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01729AM;Sectores primarios;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01730AM;Sectores no primarios;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01713AM;Agropecuario;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01714AM;Agropecuario agrícola;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01715AM;Agropecuario pecuario;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01716AM;Pesca;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01717AM;Minería e hidrocarburos;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01718AM;Minería metálica;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01719AM;Hidrocarburos;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01720AM;Manufactura;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01721AM;Manufactura primaria;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01722AM;Manufactura no primaria;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01723AM;Electricidad y agua;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01724AM;Construcción;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01725AM;Comercio;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01726AM;Otros servicios;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN01727AM;Derechos de importación y otros impuestos;Mensual;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;nivel
PN02517AQ;Demanda interna real;Trimestral;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;auto
PN02518AQ;Consumo privado real;Trimestral;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;auto
PN02519AQ;Consumo público real;Trimestral;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;auto
PN02521AQ;Inversión bruta fija real;Trimestral;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;auto
PN02522AQ;Inversión bruta fija privada real;Trimestral;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;auto
PN02523AQ;Inversión bruta fija pública real;Trimestral;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;auto
PN02524AQ;Exportaciones reales;Trimestral;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;var_interanual
PN02525AQ;Importaciones reales;Trimestral;Actividad económica y demanda interna;Mide el pulso del ciclo económico y ayuda a contrastar producción, demanda interna y sectores líderes.;var_interanual
PN01271PM;IPC;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01273PM;IPC;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01276PM;IPC Sin Alimentos y Energía;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01277PM;IPC Sin Alimentos y Energía;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01278PM;IPC Subyacente;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01279PM;IPC Subyacente;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01280PM;IPC Transables;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01281PM;IPC Transables;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01282PM;IPC No Transables;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01283PM;IPC No Transables;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
PN01286PM;Índice de Precios al por Mayor;Mensual;Precios e inflación;Monitorea presiones inflacionarias, persistencia de precios y riesgos para la política monetaria.;nivel
